高専は素晴らしい所だと思う。
セキュリティ分野に興味がある。
超能力が欲しい。
機械に任せるより人の手が便利でやりやすい。
ブラインドタッチってすごい。
サンドイッチはパンよりも中のきゅうりが一番おいしい。
アメリカの大統領はトランプでいいと思う。
自分は猫より犬派だと思う。
カレーは辛口のほうが好きだ。
きのこの山のほうが好きだ
SNSをやっており、頻繁にタイムラインを見ている。
石油王になりたい。
全角英数の使い所がわからない。
ねむみを感じる。
顎は凶器になる。
「今夜」、あなたと眠りたい
[社会性フィルター]
＼働くって青春だ。／
国立工業高等専門学校(アローラの姿)
ボードゲームやTRPGのような、皆でワイワイやれるゲームが好きだ。
